"","Voting.Place.ID","Voting.Place","Times.Cast","Undervotes","Overvotes","BREMNER..Hector..NPA..","CARDONA..Diego..Vision.Vancouver..","DUNSDON..Mary.Jean..Watermelon...Sensible.Vancouver..","FRY..Pete..Green.Party..","GRAVES..Judy..OneCity..","LEE..Gary","MURPHY..Damian.J...","SWANSON..Jean..","WASILENKOFF..Joshua..","Total.Votes","lat","lon","p_name"
"1",1," Vancouver City Hall",1587,4,0,279,200,65,304,233,28,10,458,6,1583,49.2609083,-123.1139198,"453 W 12th Ave, Vancouver, BC V5Y 1V4, Canada"
"2",2," King George Secondary School",2334,6,2,460,197,90,576,347,17,5,625,9,2326,49.2896248,-123.1364366,"1755 Barclay St, Vancouver, BC V6G 1K6, Canada"
"3",2," King George Secondary School",2334,6,2,460,197,90,576,347,17,5,625,9,2326,49.285019,-123.117057,"549 Howe St, Vancouver, BC V6E 0B6, Canada"
"4",3," Lord Roberts Annex Elementary School",1794,7,1,272,197,90,413,301,23,2,483,5,1786,49.2831547,-123.1297672,"1150 Nelson St, Vancouver, BC V6E 1J2, Canada"
"5",3," Lord Roberts Annex Elementary School",1794,7,1,272,197,90,413,301,23,2,483,5,1786,49.2872743,-123.1379949,"1100 Bidwell St, Bidwell St, Vancouver, BC V6G 2K4, Canada"
"6",4," Gathering Place Community Centre",706,3,1,172,66,36,149,93,20,4,155,7,702,49.277591,-123.123617,"609 Helmcken St, Vancouver, BC V6B 5R1, Canada"
"7",5," Elsie Roy Elementary School",884,5,0,399,85,36,146,100,14,6,91,2,879,49.2721265,-123.1226205,"150 Drake St, Vancouver, BC V6Z 2X1, Canada"
"8",6," Crosstown Elementary School",775,2,0,136,121,40,169,113,14,3,175,2,773,49.2784396,-123.1067777,"55 Expo Blvd, Vancouver, BC V6B 0J5, Canada"
"9",7," Lord Strathcona Elementary School",988,6,0,47,60,38,280,86,11,1,457,2,982,49.2800809,-123.0920717,"592 E Pender St, Vancouver, BC V6A 1V3, Canada"
"10",8," Ray-Cam Co-operative Community Centre",415,0,0,17,29,37,125,40,6,1,159,1,415,49.2808314,-123.0839498,"920 E Hastings St, Vancouver, BC V6A 3T1, Canada"
"11",9," Grandview Elementary School",1917,5,3,83,172,109,390,284,16,5,846,4,1909,49.2665164,-123.0739868,"2055 Woodland Dr, Vancouver, BC V5N 3N9, Canada"
"12",10," Sir William MacDonald Elementary School",1404,4,0,62,126,83,291,212,17,10,595,4,1400,49.280458,-123.0648749,"1950 E Hastings St, Vancouver, BC V5L 1T7, Canada"
"13",11," Hastings Elementary School",1460,7,0,157,188,67,317,242,17,9,450,6,1453,49.2825241,-123.050642,"2625 Franklin St, Vancouver, BC V5K 3W7, Canada"
"14",12," Sir John Franklin Elementary School",435,0,1,95,39,23,72,48,20,3,134,0,434,49.2825387,-123.0262889,"250 Skeena St, Vancouver, BC V5K 4N8, Canada"
"15",13," Chief Maquinna Elementary School",904,5,0,194,110,36,177,122,43,2,213,2,899,49.268342,-123.0500916,"2684 2 AVE E, Vancouver, BC V5M 1C9, Canada"
"16",14," John Norquay Elementary School",522,2,1,113,83,31,82,82,18,2,107,1,519,49.2422802,-123.0512946,"4710 Slocan St, Vancouver, BC V5R 2A1, Canada"
"17",15," Renfrew Elementary School",588,1,1,186,94,30,92,77,16,6,81,4,586,49.2511153,-123.0328521,"3315 E 22nd Ave, Vancouver, BC V5M 2Z2, Canada"
"18",16," Dr. H. N. MacCorkindale Elementary School",334,2,0,87,72,12,47,55,15,0,41,3,332,49.228055,-123.029438,"6100 Battison St, Vancouver, BC V5S 3M8, Canada"
"19",17," Killarney Community Centre",945,11,0,386,150,31,119,92,61,4,88,3,934,49.2268459,-123.0435484,"6260 Killarney St, Vancouver, BC V5S 2X7, Canada"
"20",18," Champlain Heights Annex Elementary School",693,2,0,185,106,23,136,135,10,5,90,1,691,49.2137353,-123.0308336,"7835 Champlain Cres, Vancouver, BC V5S 4J5, Canada"
"21",18," Champlain Heights Annex Elementary School",693,2,0,185,106,23,136,135,10,5,90,1,691,49.2206197,-123.0274877,"6955 Frontenac St, Vancouver, BC V5S 3T4, Canada"
"22",19," David Oppenheimer Elementary School",406,6,0,159,67,16,60,48,15,3,31,1,400,49.213644,-123.0579581,"2421 Scarboro Ave, Vancouver, BC V5P 2L5, Canada"
"23",20," David Thompson Secondary School",467,10,0,205,59,20,54,46,28,3,41,1,457,49.2208472,-123.0708019,"1755 E 55th Ave, Vancouver, BC V5P 1Z7, Canada"
"24",21," Pierre Elliott Trudeau Elementary School",366,2,0,180,83,9,36,25,6,1,23,1,364,49.2144559,-123.0965393,"449 E 62nd Ave, Vancouver, BC V5X 2G2, Canada"
"25",22," John Oliver Secondary School",868,5,1,285,132,37,158,117,23,3,103,4,862,49.2325879,-123.0925141,"530 E 41st Ave, Vancouver, BC V5W 1P3, Canada"
"26",23," Tecumseh Annex Elementary School",497,9,0,119,70,11,88,86,20,1,89,4,488,49.2369881,-123.0737982,"1551 37 Ave E, Vancouver, BC V5P 1E4, Canada"
"27",24," Lord Selkirk Elementary School",870,4,1,120,125,35,193,142,22,2,223,3,865,49.2496796,-123.0687764,"1750 E 22nd Ave, Vancouver, BC V5N 2P7, Canada"
"28",25," Charles Dickens Annex Elementary School",819,4,0,145,84,21,154,201,12,3,195,0,815,49.25021,-123.0828519,"3877 Glen Dr, Vancouver, BC V5V 4S9, Canada"
"29",25," Charles Dickens Annex Elementary School",819,4,0,145,84,21,154,201,12,3,195,0,815,49.2549707,-123.083059,"1010 E 17th Ave, Vancouver, BC V5V 0A6, Canada"
"30",26," David Livingstone Elementary School",857,9,0,145,101,30,177,142,17,5,228,3,848,49.2506561,-123.0981027,"315 E 23rd Ave, Vancouver, BC V5V 1X6, Canada"
"31",27," Hillcrest Community Centre",894,7,0,207,114,22,218,153,20,1,150,2,887,49.2438697,-123.1077187,"4575 Clancy Loranger Way, Vancouver, BC V5Y 2M4, Canada"
"32",28," Mount Pleasant Elementary School",1519,4,1,129,162,61,315,245,26,4,568,4,1514,49.2640399,-123.0940423,"2300 Guelph St, Vancouver, BC V5T 3P1, Canada"
"33",29," Simon Fraser Elementary School",962,11,2,150,104,36,186,174,25,3,268,3,949,49.2571727,-123.1083818,"100 W 15th Ave, Vancouver, BC V5Y 3B7, Canada"
"34",30," False Creek Elementary School",951,1,0,227,168,24,220,126,12,2,167,4,950,49.2671453,-123.1267371,"900 School Green, Vancouver, BC V6H 3N7, Canada"
"35",31," L'Ecole Bilingue Elementary School",884,5,0,219,113,29,212,120,12,4,168,2,879,49.2583492,-123.1305016,"1166 W 14th Ave, Vancouver, BC V6H 1P6, Canada"
"36",32," Emily Carr Elementary School",581,6,0,241,50,5,118,67,12,0,81,1,575,49.2499111,-123.1266419,"4070 Oak St, Vancouver, BC V6H 2M8, Canada"
"37",33," Shaughnessy Elementary School",403,1,0,288,15,2,58,22,3,0,14,0,402,49.2484446,-123.1437473,"4250 Marguerite St, Vancouver, BC V6J 3G3, Canada"
"38",34," Point Grey Secondary School",907,10,0,502,48,9,154,84,9,0,88,3,897,49.2374547,-123.1529549,"5350 East Blvd, Vancouver, BC V6M 3V2, Canada"
"39",35," Langara Golf Course",418,4,0,209,40,12,58,41,6,0,47,1,414,49.22399,-123.1127731,"6706 Alberta St, Vancouver, BC V5X 4V8, Canada"
"40",36," Sir William Osler Elementary School",278,4,1,186,15,9,18,21,5,1,18,0,273,49.2313221,-123.132888,"5970 Selkirk St, Vancouver, BC V6M 2Y8, Canada"
"41",37," Sir William Van Horne Elementary School",380,6,0,168,42,1,69,31,15,4,43,1,374,49.2318076,-123.1063558,"5855 Ontario St, Vancouver, BC V5W 2L8, Canada"
"42",38," Sir Wilfrid Laurier Elementary School",659,3,0,326,50,22,129,50,20,1,58,0,656,49.2186595,-123.1255754,"7350 Laurel St, Vancouver, BC V6P 3T9, Canada"
"43",39," Westside Baptist Church",242,2,0,55,27,17,49,35,9,0,45,3,240,49.2080549,-123.1186268,"8506 Ash St, Vancouver, BC V6P 3M2, Canada"
"44",40," Dr. R. E. McKechnie Elementary School",512,2,0,296,29,12,93,32,11,1,35,1,510,49.2176631,-123.1528791,"7455 Maple St, Vancouver, BC V6P 5P8, Canada"
"45",41," Kerrisdale Annex Elementary School",649,2,0,406,43,4,100,49,4,1,38,2,647,49.2328232,-123.1772867,"3250 43 AVE W, Vancouver, BC V6N 4K3, Canada"
"46",42," Maple Grove Elementary School",481,4,0,315,23,5,76,26,5,0,25,2,477,49.22978,-123.1500306,"6199 Cypress St, Vancouver, BC V6M 3S3, Canada"
"47",43," Carnarvon Elementary School",720,4,0,343,71,12,158,62,11,1,58,0,716,49.2563265,-123.1738451,"3400 Balaclava St, Vancouver, BC V6L 2S6, Canada"
"48",44," Prince of Wales Secondary School",488,2,0,304,31,11,71,40,3,0,25,1,486,49.2455558,-123.1575639,"2250 Eddington Dr, Vancouver, BC V6L 2E7, Canada"
"49",45," Henry Hudson Elementary School",1215,6,0,334,161,42,268,136,17,2,248,1,1209,49.2720471,-123.1484291,"1551 Cypress St, Vancouver, BC V6J 3L3, Canada"
"50",46," Lord Tennyson Elementary School",1645,7,0,489,167,59,347,242,31,3,296,4,1638,49.2623653,-123.1490803,"1936 W 10th Ave, Vancouver, BC V6J 2B2, Canada"
"51",47," General Gordon Elementary School",1787,9,3,452,231,50,454,264,14,6,301,3,1775,49.2663081,-123.1703869,"2268 Bayswater St, Vancouver, BC V6K 4P5, Canada"
"52",48," Lord Byng Secondary School",1739,10,0,722,179,28,440,147,27,2,183,1,1729,49.2585212,-123.1920965,"3939 W 16th Ave, Vancouver, BC V6R 3C9, Canada"
"53",49," Lord Kitchener Elementary School",1043,4,0,525,104,14,205,87,14,5,84,1,1039,49.2505519,-123.1809841,"3455 W King Edward Ave, Vancouver, BC V6S 1M4, Canada"
"54",50," Southlands Elementary School",639,3,0,374,32,8,113,61,8,3,35,2,636,49.2381428,-123.1976526,"5351 Camosun St, Vancouver, BC V6N 2C4, Canada"
"55",400," University Hill Secondary School",0,0,0,0,0,0,0,0,0,0,0,0,0,49.2539758,-123.2398629,"3228 Ross Drive, Vancouver, BC V6S 0C6, Canada"
